"名称","城市","纬度","经度","分类","介绍","官网"
"圣地亚哥 · 01 圣地亚哥大教堂","圣地亚哥","42.88055556","-8.54444444","经典景点","圣地亚哥大教堂是圣地亚哥朝圣之路的重要终点，围绕圣雅各的宗教传统形成了持续多世纪的朝圣文化。建筑经历不同阶段扩建，巴洛克外观与内部较早的结构共同存在，适合结合朝圣者抵达的场景理解其意义。
建议预留：主体约 1–1.5 小时；含专项参观可留 2–3 小时
看点：荣耀门的雕刻、主祭坛及教堂空间；屋顶、博物馆等参观项目按所选票种安排。
参观提示：著名大香炉并非每场弥撒都会摆动，不要把它当作固定节目；礼拜、荣耀门及博物馆参观可能有不同安排，出发前分别核对。
景点官网：https://www.spain.info/en/destination/santiago-compostela/
位置来源：https://en.wikipedia.org/wiki/Santiago_de_Compostela_Cathedral
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/santiago-compostela/"
"圣地亚哥 · 02 奥布拉多伊罗广场","圣地亚哥","42.8806","-8.5458","经典景点","奥布拉多伊罗广场是许多朝圣者抵达圣地亚哥时停留的地方，四周建筑分别呈现宗教、接待与城市公共生活的历史。它最动人的部分常常不是某一处细节，而是背包客抵达、合影、休息的场景与宏大建筑之间的对照。
建议预留：30–60 分钟
看点：大教堂正立面、拉霍伊宫，以及原为朝圣者提供接待服务的天主教双王旅舍建筑。
参观提示：先留一段时间在广场坐坐，再开始教堂参观；四周建筑不一定都能随意入内，外观欣赏已能理解广场的整体构成。
景点官网：https://www.spain.info/en/destination/santiago-compostela/
位置来源：https://en.wikipedia.org/wiki/Plaza_del_Obradoiro
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/santiago-compostela/"
"圣地亚哥 · 03 阿拉梅达公园","圣地亚哥","42.87759","-8.5492","经典景点","阿拉梅达公园紧邻历史城区，是离开密集石街后放松的绿地。林荫步道与观景位置形成一条轻松路线，能从侧面看大教堂和老城屋顶，也能看到市民散步、跑步的日常，与朝圣广场的热闹形成不同气氛。
建议预留：45–75 分钟
看点：面向大教堂的经典观景位置、林荫步道及公园雕塑。
参观提示：可放在老城游览结束后，或选光线合适时来拍天际线；加利西亚天气变化较快，遇雨可把这段散步与室内参观互换。
景点官网：https://www.spain.info/en/destination/santiago-compostela/
位置来源：https://www.mypacer.com/parks/101440/alameda-santiago-de-compostela
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/santiago-compostela/"
"毕尔巴鄂 · 01 古根海姆博物馆","毕尔巴鄂","43.26861111","-2.93388889","美术馆","毕尔巴鄂古根海姆博物馆由弗兰克·盖里设计，弯曲的钛金属表面随天气和光线产生丰富变化，是理解这座工业城市文化转型的重要地点。建筑外部、河岸公共艺术和馆内现当代艺术共同组成体验，不能只把它当作一个拍外观的地标。
建议预留：馆内 2–3 小时；外部与河岸约 45 分钟
看点：金属曲面与河流的关系、花卉小狗 Puppy、蜘蛛雕塑 Maman，以及馆内当期展览。
参观提示：先浏览当前展览，按兴趣分配时间；外部雕塑可以与河岸散步一起看，进入展厅后留意作品的摄影规定。
景点官网：https://www.guggenheim-bilbao.eus/en/guggenheimbilbaolive
位置来源：https://en.wikipedia.org/wiki/Guggenheim_Museum_Bilbao
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.guggenheim-bilbao.eus/en/guggenheimbilbaolive"
"毕尔巴鄂 · 02 老城区七条街","毕尔巴鄂","43.25722222","-2.92388889","经典景点","毕尔巴鄂老城区以历史上的“七条街”为核心，尺度紧凑的街道连接教堂、商铺、酒吧与广场。和古根海姆一带的现代河岸相比，这里更能看到城市的商业起源与日常生活，适合通过步行和小吃慢慢体验巴斯克文化。
建议预留：1.5–2 小时；用餐可再留 1 小时
看点：七条街巷的城市纹理、圣地亚哥主教座堂周边，以及新广场的拱廊和酒吧。
参观提示：可按“河岸—里贝拉市场—七条街—新广场”串联；想尝 pintxos 小食，可每家少量点选，给下一家留些胃口。
景点官网：https://www.spain.info/es/ruta/bilbao-dos-dias/
位置来源：https://en.wikipedia.org/wiki/Casco_Viejo
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/es/ruta/bilbao-dos-dias/"
"毕尔巴鄂 · 03 里贝拉市场","毕尔巴鄂","43.2555","-2.9242","经典景点","里贝拉市场位于老城边的河岸，是把食材采购与城市空间连在一起的好去处。市场建筑与河流、桥梁和邻近教堂共同构成鲜明街景；进入内部，则可从海鲜、肉类和蔬果等摊位认识当地饮食，而不只是坐下来吃小食。
建议预留：45–75 分钟
看点：临河建筑立面、采光空间和生鲜摊位；周边河岸也适合散步拍照。
参观提示：采购摊位和餐饮区域的营业安排可能不同，按想体验的部分选择到访时间；可与七条街同日安排，少走回头路。
景点官网：https://www.spain.info/es/ruta/bilbao-dos-dias/
位置来源：https://en.wikipedia.org/wiki/Mercado_de_la_Ribera
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/es/ruta/bilbao-dos-dias/"
"圣塞巴斯蒂安 · 01 贝壳海滩","圣塞巴斯蒂安","43.3175","-1.98666667","经典景点","贝壳海滩沿圣塞巴斯蒂安的弧形海湾展开，近海小岛与两端山丘共同塑造出极易辨认的轮廓。这里既是自然景观，也是城市公共空间，沿步道慢走能看到海湾、建筑立面和市民生活在同一条线上展开。
建议预留：1–1.5 小时；海边休闲可更久
看点：弯月形海湾、标志性的白色栏杆，以及海湾中央的圣克拉拉岛。
参观提示：海滩宽度会随潮汐变化，安排沙滩活动前留意潮位；四月可以散步为主，再按风雨情况决定是否延长停留。
景点官网：https://sansebastianturismoa.eus/hacer/playas/playa-de-la-concha/
位置来源：https://en.wikipedia.org/wiki/Beach_of_La_Concha
位置为旅行规划参考，不代表售票口或唯一入口。","https://sansebastianturismoa.eus/hacer/playas/playa-de-la-concha/"
"圣塞巴斯蒂安 · 02 伊格尔多山","圣塞巴斯蒂安","43.32139444","-2.00953056","经典景点","伊格尔多山位于海湾西侧，从高处能清楚看出贝壳湾、圣克拉拉岛和城市之间的空间关系。历史缆车和山顶休闲设施让上山过程本身也有趣，但最值得停留的仍是随着视角变化展开的海岸全景。
建议预留：约 1–1.5 小时，含一般上山停留
看点：俯瞰整座海湾的观景位置，以及上山缆车带来的老式交通体验。
参观提示：云低或雨大时景观会受影响，可把它安排在天气较好的半天；缆车、观景区域和游乐项目可能分别收费与开放。
景点官网：https://sansebastianturismoa.eus/en/to-do/district-by-district/antiguo-igeldo/
位置来源：https://es.wikipedia.org/wiki/Parque_de_Atracciones_Monte_Igueldo
位置为旅行规划参考，不代表售票口或唯一入口。","https://sansebastianturismoa.eus/en/to-do/district-by-district/antiguo-igeldo/"
"圣塞巴斯蒂安 · 03 老城区","圣塞巴斯蒂安","43.32333333","-1.985","经典景点","圣塞巴斯蒂安老城区位于乌尔古尔山脚，是体验 pintxos 小食文化的重要区域。窄街、教堂与广场之间分布着许多酒吧，食物常以小份呈现；边走边尝几家，比一次坐下来点满一桌更能体会当地用餐节奏。
建议预留：散步约 1 小时；含小食巡游 2–3 小时
看点：宪法广场、圣维森特教堂周边，以及不同酒吧的招牌小食。
参观提示：每家先点一两样，冷盘展示与现做热食的点法可能不同，可直接询问店员；午晚餐高峰较热闹，预留排队弹性。
景点官网：https://sansebastianturismoa.eus/
位置来源：https://es.wikipedia.org/wiki/Parte_Vieja
位置为旅行规划参考，不代表售票口或唯一入口。","https://sansebastianturismoa.eus/"
"萨拉戈萨 · 01 皮拉尔圣母大教堂","萨拉戈萨","41.65694444","-0.87833333","经典景点","皮拉尔圣母大教堂紧邻埃布罗河，以巨大的巴洛克建筑体量和多座穹顶构成萨拉戈萨最鲜明的天际线。它也是重要的圣母朝圣场所；从河对岸看整体，再到内部看礼拜堂与绘画，能得到更完整的印象。
建议预留：1–1.5 小时
看点：彩色穹顶、圣母相关礼拜空间，以及戈雅参与创作的壁画；河对岸适合看全景。
参观提示：可从广场进入，再沿石桥附近散步看外观；这里有持续的宗教活动，拍照和参观需服从各区域现场要求。
景点官网：https://www.spain.info/en/destination/zaragoza/
位置来源：https://en.wikipedia.org/wiki/Cathedral-Basilica_of_Our_Lady_of_the_Pillar
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/zaragoza/"
"萨拉戈萨 · 02 阿尔哈费里亚宫","萨拉戈萨","41.656472","-0.89675","经典景点","阿尔哈费里亚宫起源于十一世纪的伊斯兰宫廷建筑，后来经历基督教君主时期的改建，因此能在同一座建筑中看到多种装饰语言。外部像堡垒，内部却有精巧的庭院与交错拱券，是理解阿拉贡地区文化交汇的关键景点。
建议预留：1–1.5 小时
看点：庭院的细密拱券、伊斯兰装饰遗存，以及后期王室空间中的木作与天花板。
参观提示：宫殿也与现代议会使用有关，参观时段和路线需提前核对；建议借助导览辨认不同建造阶段，避免把所有装饰看成同一时期。
景点官网：https://www.spain.info/en/places-of-interest/palace-aljaferia/
位置来源：https://en.wikipedia.org/wiki/Aljafer%C3%ADa
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/palace-aljaferia/"
"萨拉戈萨 · 03 救世主主教座堂","萨拉戈萨","41.65456","-0.87585","经典景点","救世主主教座堂又称 La Seo，坐落在多种宗教建筑曾经使用过的位置，整体融合罗马式、哥特式、穆德哈尔及后期元素。它与附近的皮拉尔大教堂风格不同，尤其适合对建筑细节和装饰材料感兴趣的游客。
建议预留：1–1.5 小时
看点：外墙的穆德哈尔砖与瓷砖装饰、内部礼拜堂，以及馆藏佛兰德挂毯。
参观提示：与皮拉尔大教堂距离近，可并排比较两者风格；想看挂毯馆时，购票前确认参观项目及开放区域。
景点官网：https://www.spain.info/en/destination/zaragoza/
位置来源：https://en.wikipedia.org/wiki/Cathedral_of_the_Savior_of_Zaragoza
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/zaragoza/"
"萨拉戈萨 · 04 巴勃罗·加尔加略博物馆（重开后备选）","萨拉戈萨","41.6548","-0.882406","美术馆","在阿尔吉略宫内看雕塑家加尔加略的作品、纸板模型与创作过程，能把传统宫邸建筑和现代雕塑连在一起。但市政府官网目前仍显示因设施与无障碍改造临时闭馆，不能作为这次途中一晚的确定安排。
建议预留：重开后建议预留 1–1.5 小时
看点：重开后可关注金属雕塑的空与实、模型和成品的关系；馆址是历史宫殿，不是雕塑家的原宅。
参观提示：截至本次核对官方仍显示闭馆，待确认 2027 日期开放后再选。当前行程仍以皮拉尔圣母大教堂、阿尔哈费里亚宫为主。
顺路：暂不为此加住宿，开放后才作为老城文化加餐。
景点官网：https://www.zaragoza.es/sede/portal/museos/pablo-gargallo/
位置来源：https://es.wikipedia.org/wiki/Museo_Pablo_Gargallo
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.zaragoza.es/sede/portal/museos/pablo-gargallo/"
"赫罗纳 · 01 赫罗纳大教堂","赫罗纳","41.9875","2.82638889","经典景点","赫罗纳大教堂坐落在老城高处，宽阔台阶把街巷与庄严立面连接起来。建筑结合了不同时期的结构与装饰，内部尤其以宽大的哥特式中殿著称；馆藏艺术则让参观从看建筑延伸到理解中世纪宗教图像。
建议预留：1–1.5 小时
看点：大台阶与立面、宽阔的单中殿，以及馆藏《创世挂毯》；依实际开放展区参观。
参观提示：老城石阶较多，可先上行到大教堂，再顺坡逛犹太区；登上台阶拍外观与购票进入教堂是两种不同的安排。
景点官网：https://www.spain.info/en/destination/girona/
位置来源：https://en.wikipedia.org/wiki/Girona_Cathedral
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/girona/"
"赫罗纳 · 02 奥尼亚尔河彩色房屋","赫罗纳","41.9844","2.82402","经典景点","奥尼亚尔河两岸的彩色房屋是赫罗纳最直观的城市名片，黄、橙、红等立面沿水面连续排列。这里的重点不在某一栋房子，而在河道、桥梁、建筑与远处教堂共同组成的层次，适合边走边比较不同桥上的画面。
建议预留：30–45 分钟
看点：各座跨河桥上的彩色房屋倒影，以及铁桥结构框住老城的视角。
参观提示：选两三座桥串联即可，晴天与阴天各有色彩变化；多数沿河建筑仍有实际用途，拍照以公共桥面和步道为主。
景点官网：https://www.spain.info/en/destination/girona/
位置来源：https://es.wikipedia.org/wiki/Casas_del_O%C3%B1ar
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/girona/"
"赫罗纳 · 03 犹太区与古城墙","赫罗纳","41.98611111","2.82555556","经典景点","赫罗纳犹太区由紧密的石巷、台阶和庭院组成，保存了历史社区的空间气氛；古城墙则把视线从巷道抬升到屋顶和远山。先在街区内走，再到城墙看整体，可以把老城的细节与格局联系起来。
建议预留：1.5–2 小时；入馆另留时间
看点：Força 街周边的石巷、犹太历史相关场馆，以及城墙步道上的屋顶全景。
参观提示：城墙有台阶和起伏，按体力选择一段即可；如想了解犹太社区历史，可加入博物馆，不必只把街区当作拍照背景。
景点官网：https://www.spain.info/en/destination/girona/
位置来源：https://es.wikipedia.org/wiki/Barrio_jud%C3%ADo_de_Gerona
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/girona/"
"阿利坎特 · 01 圣巴巴拉城堡","阿利坎特","38.34888889","-0.47805556","经典景点","圣巴巴拉城堡占据贝纳坎蒂尔山顶，是阿利坎特城市与海岸之间最醒目的制高点。城堡经历不同阶段扩建，沿平台和城墙移动时，能看见旧城区、港口与海滩逐步展开，也能理解这处高地的防御价值。
建议预留：1–1.5 小时；步行上山另计
看点：不同高度的城堡平台、城墙轮廓，以及向下俯瞰波斯蒂盖海滩和港口的视野。
参观提示：可按体力选择步行或查询电梯等上山方式；山顶遮阴较少，安排好饮水与休息，再下山接老城散步。
景点官网：https://www.spain.info/en/destination/alicante-alacant/
位置来源：https://en.wikipedia.org/wiki/Santa_B%C3%A0rbara_Castle
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/alicante-alacant/"
"阿利坎特 · 02 西班牙滨海步道","阿利坎特","38.343349","-0.483251","经典景点","西班牙滨海步道沿港口展开，以红、白、黑相间的波浪纹地面和棕榈树列形成鲜明印象。它不是需要购票进入的单一景点，而是一段适合放慢脚步的城市公共空间，可以把港口、街边建筑与沿途休息串在一起。
建议预留：30–60 分钟
看点：起伏错觉般的马赛克铺地、棕榈树影，以及港口方向的城市景观。
参观提示：适合在城堡或老城游览后经过，顺便安排咖啡与晚餐；拍地面图案时注意给行人留出通道。
景点官网：https://www.spain.info/en/destination/alicante-alacant/
位置来源：https://es.wikipedia.org/wiki/Paseo_de_la_Explanada
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/alicante-alacant/"
"阿利坎特 · 03 波斯蒂盖海滩","阿利坎特","38.34658","-0.47588","经典景点","波斯蒂盖海滩紧靠市中心和城堡山脚，让阿利坎特的历史景点与海边休闲可以轻松连接。与需要专门开车前往的度假海滩相比，它更适合短时间停留：沿水边走一段、回望山顶城堡，再继续城市行程。
建议预留：1–2 小时
看点：沙滩与圣巴巴拉城堡同框的视角、海边步道及港区附近的开阔景色。
参观提示：可与滨海步道合并成一段轻松路线；四月按当天海风和体感决定停留时长，无需为了下水打乱整体安排。
景点官网：https://www.spain.info/en/destination/alicante-alacant/
位置来源：https://es.wikipedia.org/wiki/Playa_del_Postiguet
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/alicante-alacant/"
"加的斯 · 01 加的斯大教堂","加的斯","36.529135","-6.295254","经典景点","加的斯大教堂的浅色石墙和黄色穹顶构成老城临海天际线的重要部分，建筑融合巴洛克与新古典主义特征。它体现了海港城市昔日的繁荣；从狭窄街道走到教堂前的广场，再看向海边，空间变化很有戏剧感。
建议预留：1–1.5 小时；登塔另留时间
看点：黄色穹顶、内部柱列与地下墓室；开放塔楼可提供老城和海岸视角。
参观提示：教堂与塔楼是否同时开放需核对；可与老城步行连在一起，再向拉卡莱塔海滩方向移动。
景点官网：https://www.spain.info/en/destination/cadiz/
位置来源：https://en.wikipedia.org/wiki/C%C3%A1diz_Cathedral
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/cadiz/"
"加的斯 · 02 拉卡莱塔海滩","加的斯","36.53027778","-6.30583333","经典景点","拉卡莱塔海滩被老城和两侧防御建筑围合，是加的斯很有生活气息的一片海湾。渔船、海面、沙滩和古堡共同构成紧凑景观，适合短距离散步与看日落，而不是追求一望无际的大型度假海滩。
建议预留：1–1.5 小时
看点：圣卡塔利娜与圣塞巴斯蒂安两座城堡方向的轮廓、停泊小船和傍晚海面。
参观提示：想看日落可先留意当天云量；通往城堡的步道和入内参观有各自条件，不要把海滩开放等同于城堡随时可进。
景点官网：https://www.spain.info/en/destination/cadiz/
位置来源：https://en.wikipedia.org/wiki/La_Caleta%2C_Spain
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/destination/cadiz/"
"加的斯 · 03 塔维拉塔","加的斯","36.532017","-6.2983833","经典景点","塔维拉塔是加的斯历史商贸时期的瞭望塔，体现了海运城市借高处观察船只与港口的传统。除了登高看密集屋顶，馆内暗箱装置会利用光学原理把外部实时景象投到室内，让人用另一种方式观察整座城市。
建议预留：45–60 分钟
看点：屋顶平台的城市全景，以及带讲解的暗箱影像演示。
参观提示：暗箱演示通常按场次组织，建议提前查看并预约合适时段；这里需要爬楼，城市高处视野也会受天气影响。
景点官网：https://torretavira.com/en/reservas
位置来源：https://es.wikipedia.org/wiki/Torre_Tavira
位置为旅行规划参考，不代表售票口或唯一入口。","https://torretavira.com/en/reservas"
"帕尔马 · 01 帕尔马大教堂","帕尔马","39.56737778","2.64813611","经典景点","帕尔马大教堂 La Seu 位于老城临海一侧，巨大的哥特式体量与玫瑰窗是其最鲜明的特征。内部既有历史结构，也有高迪参与调整的空间与巴塞罗创作的现代艺术，让这里成为传统宗教建筑持续演变的例子。
建议预留：1–1.5 小时
看点：彩色玫瑰窗、内部高耸柱列，以及现代艺术与历史空间的并置；海滨公园可看完整外观。
参观提示：可与阿尔穆戴纳王宫和海滨公园一起安排；屋顶等专项项目不一定包含在普通参观中，出发前按兴趣核对。
景点官网：https://www.visitpalma.com/es/descubrir/que-ver-y-que-hacer/palma-en-1-dia
位置来源：https://en.wikipedia.org/wiki/Palma_Cathedral
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.visitpalma.com/es/descubrir/que-ver-y-que-hacer/palma-en-1-dia"
"帕尔马 · 02 贝尔韦尔城堡","帕尔马","39.56375","2.619338","经典景点","贝尔韦尔城堡建在帕尔马近郊的林木山丘上，圆形平面与环绕庭院的柱廊让它在众多城堡中很容易辨认。它既适合看建筑结构，也适合从高处回望城市、港湾与海岸，体验老城以外更开阔的一面。
建议预留：1–1.5 小时，另加往返交通
看点：圆形庭院、环状防御布局，以及面向帕尔马湾的高处视野。
参观提示：它不在大教堂旁的老城核心，需单独安排上山交通；若步行经过林地，给坡道和返程预留时间。
景点官网：https://www.spain.info/es/lugares-interes/castillo-bellver/
位置来源：https://en.wikipedia.org/wiki/Bellver_Castle
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/es/lugares-interes/castillo-bellver/"
"帕尔马 · 03 阿尔穆戴纳王宫","帕尔马","39.5675","2.64722","经典景点","阿尔穆戴纳王宫位于大教堂旁，源自旧有的伊斯兰堡垒，并在后来成为王室使用的宫殿。庭院、厅室、挂毯与临海位置共同体现其防御和礼仪功能，也提供了理解马略卡岛不同历史阶段的另一条线索。
建议预留：1–1.5 小时
看点：宫殿庭院、仪式厅与装饰陈设，以及与大教堂、海滨花园相连的外部景观。
参观提示：适合与大教堂连续参观，中间可到花园休息；王室活动可能改变开放安排，行前核对当日参观信息。
景点官网：https://www.visitpalma.com/es/descubrir/que-ver-y-que-hacer/palma-en-1-dia
位置来源：https://en.wikipedia.org/wiki/Royal_Palace_of_La_Almudaina
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.visitpalma.com/es/descubrir/que-ver-y-que-hacer/palma-en-1-dia"
"圣克鲁斯 · 01 特内里费音乐厅","圣克鲁斯","28.456075","-16.251281","经典景点","特内里费音乐厅由圣地亚哥·卡拉特拉瓦设计，巨大的白色曲面伸向海边，是圣克鲁斯最具辨识度的现代建筑。近看可观察碎瓷铺面与曲线结构，退到广场边则能把整个轮廓与大西洋放进同一画面。
建议预留：外观约 30–45 分钟；导览或演出另计
看点：挑起的弧形屋顶、白色马赛克表面，以及从滨海广场看到的整体剪影。
参观提示：内部参观与演出按各自场次安排，提前看官网；外部若有维修或围挡，以现场可通行范围为准，照片呈现的是建筑正常外观。
景点官网：https://www.auditoriodetenerife.com/en/auditorium/
位置来源：https://en.wikipedia.org/wiki/Auditorio_de_Tenerife
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.auditoriodetenerife.com/en/auditorium/"
"圣克鲁斯 · 02 特雷西塔海滩","圣克鲁斯","28.50861111","-16.18583333","经典景点","特雷西塔海滩位于圣克鲁斯东北方向、靠近圣安德烈斯村，以浅色沙滩、棕榈树和背后山地构成鲜明景观。它与市区港口一带气氛不同，适合留半天把海边散步、休息和村中用餐组合起来。
建议预留：半天，含往返与用餐
看点：金色沙滩与山地的对比、沿海棕榈树，以及圣安德烈斯村周边的海岸气氛。
参观提示：这里需要从市中心另行前往，先安排好公交或驾车往返；下水与否仍按当天旗帜和海况决定，不以照片中的平静水面作判断。
景点官网：https://www.webtenerife.co.uk/what-see/beaches/las-teresitas/
位置来源：https://en.wikipedia.org/wiki/Playa_de_Las_Teresitas
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.webtenerife.co.uk/what-see/beaches/las-teresitas/"
"圣克鲁斯 · 03 泰德国家公园（岛内远郊）","圣克鲁斯","28.263","-16.616","经典景点","泰德国家公园位于特内里费岛内陆高处，以火山锥、熔岩地貌、岩石与高山环境构成近似另一颗星球的景观。它不是圣克鲁斯市区的步行景点，应作为单独的一日郊游；仅在公路观景点和低难度步道停留，也能认识这里的火山地形。
建议预留：建议一整天，含岛内往返；登顶另行规划
看点：泰德火山轮廓、拉斯卡尼亚达斯地形与加西亚岩群；缆车和登顶属于额外行程。
参观提示：高海拔处温差和风力明显，出发前核对天气与道路情况。缆车票不等于登顶许可，山顶和部分步道需按具体线路查询预约要求。
景点官网：https://www.webtenerife.co.uk/what-see/teide-national-park/ascension-a-la-cumbre/
位置来源：https://en.wikipedia.org/wiki/Teide_National_Park
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.webtenerife.co.uk/what-see/teide-national-park/ascension-a-la-cumbre/"
"梅里达 · 01 梅里达罗马剧场","梅里达","38.91538889","-6.3385","经典景点","罗马剧场是梅里达最值得优先安排的遗址。半圆形看台利用地形层层展开，舞台背景的柱廊让古代公共演出空间变得直观；从高处看整体，再走近舞台看建筑细节，能体会它与旁边竞技场的不同用途。
建议预留：约 1–1.5 小时；与竞技场合计建议 2–2.5 小时
看点：半圆看台、舞台柱廊、入口与舞台的空间关系；可与相邻竞技场连走。
参观提示：抵达梅里达当天下午优先安排这里。建议配讲解；遗址地面不平，穿好走的鞋，出发前核对开放与联票内容。
景点官网：https://www.spain.info/en/places-of-interest/roman-theatre-merida/
位置来源：https://en.wikipedia.org/wiki/Roman_Theatre_%28M%C3%A9rida%29
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/roman-theatre-merida/"
"梅里达 · 02 梅里达圆形竞技场","梅里达","38.91619444","-6.33772222","经典景点","竞技场紧邻罗马剧场，过去用于角斗等公共竞技。椭圆形场地、环绕的看台和地下空间遗迹，提供了理解罗马城市娱乐生活的另一种角度。把它与剧场放在同一次参观，可以对比演出与竞技建筑如何组织观众和活动。
建议预留：45–60 分钟；已计入剧场＋竞技场合计时长
看点：椭圆竞技区、中央十字形坑道遗迹与观众席；重点理解建筑用途和空间布局。
参观提示：与剧场连续参观，避免按两个完全独立的大景点重复预留时间。参观路线及可进入区域以现场为准。
景点官网：https://www.spain.info/en/places-of-interest/roman-amphitheatre-merida/
位置来源：https://en.wikipedia.org/wiki/Amphitheatre_of_M%C3%A9rida
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/roman-amphitheatre-merida/"
"梅里达 · 03 戴安娜神庙","梅里达","38.91694444","-6.34313889","经典景点","这座罗马时期的神庙立在今天的城市街巷之间，高台、柱列与周边民居形成鲜明对照。它很适合作为从遗址区走向老城的中途一站，不必赶着拍完就走，可以绕到不同角度观察建筑与后世城市相互叠加的痕迹。
建议预留：约 30–45 分钟
看点：柱列与高台的比例、正立面，以及神庙融入街区的整体景观。
参观提示：可安排在剧场参观后的傍晚散步中；外观与需购票进入的区域分开看，核对当天开放，不默认全区域免费。
景点官网：https://www.spain.info/en/places-of-interest/roman-temple-diana/
位置来源：https://en.wikipedia.org/wiki/Roman_Forum_%28M%C3%A9rida%29
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/roman-temple-diana/"
"梅里达 · 04 瓜迪亚纳河罗马桥","梅里达","38.91306","-6.35083","经典景点","古罗马桥横跨瓜迪亚纳河，将城市遗迹与河岸景观连接起来。看过剧场和神庙后，到这里慢走可以换一个节奏：既能从桥上看河面，也能从河岸欣赏连续的桥拱和梅里达老城。
建议预留：约 30–60 分钟
看点：连续石拱、桥上步行视角与河岸全景；适合与老城散步组合。
参观提示：可放在离开梅里达的早晨；不必为走完整座桥影响后续转场，按体力和天气选择折返点。
景点官网：https://www.spain.info/en/places-of-interest/roman-bridge-rio-guadiana/
位置来源：https://en.wikipedia.org/wiki/Puente_Romano%2C_M%C3%A9rida
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.spain.info/en/places-of-interest/roman-bridge-rio-guadiana/"
"梅里达 · 05 国家罗马艺术博物馆","梅里达","38.91730611","-6.33986111","地方特色","梅里达不应只看户外遗址。这座馆把雕塑、马赛克、铭文和生活物件聚在一起，能补上剧场与神庙已经散失的细节，帮助理解罗马时期卢西塔尼亚首府的生活。喜欢考古或古代艺术，可以把它列为与剧场同等重要的一站。
建议预留：1.5–2 小时
看点：人物雕塑、马赛克和铭文，联系前后参观的剧场、竞技场来理解原来的城市。
参观提示：馆方曾进行扩建，出发前核对开放展厅和当日安排；遗址门票与博物馆票务分别确认。
顺路：抵达日下午看馆，次日上午剧场与竞技场；若前一天驾车后太晚，梅里达可加一晚。
景点官网：https://www.cultura.gob.es/en/cultura/areas/museos/mc/museos-estatales/prepara-tu-visita/mnar.html
位置来源：https://en.wikipedia.org/wiki/National_Museum_of_Roman_Art
位置为旅行规划参考，不代表售票口或唯一入口。","https://www.cultura.gob.es/en/cultura/areas/museos/mc/museos-estatales/prepara-tu-visita/mnar.html"
